Category,Agency,Website,Description
"Assistance and social programs, Education","First 5 California
                  (First 5)",http://www.ccfc.ca.gov/,"Californians believe that our state’s children are a top priority. That’s why in 1998 voters passed Proposition 10, adding a 50-cent tax to each pack of cigarettes sold to create First 5 California, also known as the California Children and Families Commission. We are dedicated to improving the lives of California’s young children and their families through a comprehensive system of education, health services, childcare, and other crucial programs. Since its creation, We has brought these critical services to millions of parents, caregivers, and children ages 0 to 5, and we’re striving to reach thousands more every day.  Eighty percent of the annual revenues are allocated to the 58 county commissions, while the remaining 20 percent fund the state’s overall guiding programs and administrative costs. The amount of funding provided to each First 5 county commission is based upon the area’s birth rate. Funds are used to address the local needs of communities statewide."
,"Fish and Game Commission
                  (FGC)",http://www.fgc.ca.gov/,"Established in 1870, the California Fish and Game Commission’s decisions are intended to create a healthy, biodiverse and natural California in which native fish and wildlife thrive within dynamic ecosystems and inspire human interaction and enjoyment."
,"Department of Fish and Wildlife
                  (CDFW)",https://wildlife.ca.gov/,"The mission of the Department of Fish and Wildlife is to manage California's diverse fish, wildlife, and plant resources, and the habitats upon which they depend, for their ecological values and for their use and enjoyment by the public."
Health and wellness,"Department of Food and Agriculture
                  (CDFA)",https://www.cdfa.ca.gov/,"In 1919, the California Legislature created a single department to protect and promote agriculture. The California Department of Food and Agriculture operates at more than 100 locations throughout the state, providing valuable services to producers and consumers, often in partnership with county agricultural commissioners. California's agricultural abundance is a reflection of the people who made the Golden State their home and brought their agricultural heritage with them. CDFA strives to support this tradition of innovation and diversity, both by forging lasting partnerships with industry, academia and stakeholders, and by constantly adapting public policy to this rapidly changing agricultural community."
Safety and emergencies,"Board of Forestry and Fire Protection
                  (BOF)",https://bof.fire.ca.gov/,"The Board of Forestry and Fire Protection  is a government-appointed body within the Department of Forestry and Fire Protection (the Department). It is responsible for developing the general forest policy of the state, determining the guidance policies of the Department, and representing the state's interest in federal forestland in California. Together, the Board and the Department work to carry out the California Legislature's mandate to protect and enhance the state's unique forest and wildland resources.

The Board is charged with protecting all wildland forest resources in California that are not under federal jurisdiction. These resources include major commercial and non-commercial stands of timber, areas reserved for parks and recreation, woodlands, brush-range watersheds, and all private and state lands that contribute to California's forest resource wealth."
Safety and emergencies,"California Department of Forestry and Fire Protection
                  (CAL FIRE)",https://www.fire.ca.gov/,"The men and women of the California Department of Forestry and Fire Protection (CAL FIRE) are dedicated to the fire protection and stewardship of over 31 million acres of California's privately-owned wildlands. In addition, the Department provides varied emergency services in 36 of the State's 58 counties via contracts with local governments.

Visit the CAL FIRE About to learn about our values and organization, and strategic plans."
Taxes,"Franchise Tax Board
                  (FTB)",https://www.ftb.ca.gov/?WT.mc_id=CAGov_Profile,"Our mission is to help taxpayers file tax returns timely, accurately, and pay the correct amount to fund services important to Californians."
Travel and recreation,"California Gambling Control Commission
                  (CGCC)",http://www.cgcc.ca.gov/,"The Commission is responsible for setting policy, establishing regulations, making determinations of suitability for gaming employees and other individuals and entities, issuing licenses, acting as the administrator of gaming revenues deposited into the Indian Gaming Special Distribution Fund and the trustee over the revenues deposited into the Indian Gaming Revenue Sharing Trust Fund, and administering the provisions of the Gambling Control Act and the Tribal-State Gaming Compacts."
Businesses,"Department of General Services
                  (DGS)",https://www.dgs.ca.gov/,"The Department of General Services (DGS) serves the public by providing a variety of services to state agencies through procurement and acquisition solutions; real estate management and design; environmentally friendly transportation; professional printing, design and web services; administrative hearings; legal services; building standards; oversight of structural safety, fire/life safety and accessibility for the design and construction of K-12 public schools and community colleges; funding for school construction; and disability access."
State info and laws,"Government Operations Agency
                  (GovOps)",https://www.govops.ca.gov/,"The Government Operation Agency's mission is to improve management and accountability of government programs, increase efficiency, and promote better and more coordinated operational decisions."
State info and laws,"Office of the Governor
                  (GOV)",https://gov.ca.gov/,"The Governor of California serves as the chief executive office of the state. California's executive office also includes elected officials and administrators. The Governor represents California, and handles the operation of California's government."
State info and laws,"Governor's Office of the Tribal Advisor
                  (TAO)",https://tribalaffairs.ca.gov/,The Office of the Tribal Advisor created by Executive Order B-10-11 in 2010 is part of Governor Edmund G. Brown Jr.'s Administration. The Tribal Advisor reports directly to Governor Brown. She is responsible for overseeing and implementing effective government-to-government consultation between the Governor's Administration and California Tribes on policies that affect California tribal communities. The Tribal Advisor's charge is to serve as a direct link between the tribes in California and the Governor; facilitate communication and consultations between Tribes and State Agencies; and review state legislation and regulations affecting Tribes and provide recommendations.
"Assistance and social programs, Health and wellness","Health and Human Services Agency
                  (CalHHS)",https://www.chhs.ca.gov/,"The California Health & Human Services Agency oversees departments and offices that provide a wide range of services in the areas of health care, mental health, public health, alcohol and drug treatment, income assistance, social services and assistance to people with disabilities."
"Assistance and social programs, Health and wellness, Jobs and unemployment","Commission on Health and Safety and Workers' Compensation
                  (CHSWC)",https://www.dir.ca.gov/chswc/,CHSWC is charged with examining the health and safety and workers' compensation systems in California and recommending administrative or legislative modifications to improve their operation. The Commission was established to conduct a continuing examination of the workers' compensation system and of the state's activities to prevent industrial injuries and occupational illnesses and to examine those programs in other states.
Health and wellness,"California Health Benefit Exchange
                  (HBEX)",https://hbex.coveredca.com/,The purpose of state health insurance exchanges is to make health insurance more affordable and easier to purchase for small business and individuals.
"Education, Health and wellness, Personal records, State info and laws","Department of Health Care Access and Information
                  (HCAI)",https://hcai.ca.gov/,"Department of Health Care Access and Information (HCAI) improves access to quality healthcare for Californians. We ensure hospital buildings are safe, offer financial assistance to individuals and healthcare institutions, and collect and publish healthcare data."
"Assistance and social programs, Health and wellness, Personal records","Department of Health Care Services
                  (DHCS)",https://www.dhcs.ca.gov,"The California Department of Health Care Services (DHCS) is the backbone of the state’s health care safety net, serving nearly 15 million Californians – one-third of the state’s population. DHCS collaborates with federal, state, county, and other partners to ensure equitable access to quality health care, leading to a healthy California for all. As the state single state agency overseeing Medi-Cal, California’s Medicaid program, DHCS provides health care to low-income individuals, children, older adults, and persons with disabilities. Medi-Cal covers physical and mental health, substance use disorder treatment, dental, pharmacy, and long-term services and supports. DHCS is also the single state agency for the Substance Use and Mental Health Services Administration for mental health and substance use disorder services"
"Assistance and social programs, Housing and real estate, Taxes","California Health Facilities Financing Authority
                  (CHFFA)",https://www.treasurer.ca.gov/chffa/,"The California Health Facilities Financing Authority (CHFFA) was established to be the State's vehicle for providing financial assistance to public and non-profit health care providers through loans, grants and tax-exempt bonds."
"Assistance and social programs, Health and wellness","California Healthy Food Financing Initiative Council
                  (CHFFIC)",https://www.insurance.ca.gov/0250-insurers/0700-coin/upload/FreshFoodsBulletinFlyer-2.pdf,"CHFFIC is a public-private partnership program that was created to increase access to healthy foods in underserved, urban, and rural communities and inspire innovation in healthy food retailing."
Travel and recreation,"High-Speed Rail Authority
                  (CAHSRA)",https://www.hsr.ca.gov/,"The California High-Speed Rail Authority (Authority) is responsible for planning, designing, building and operation of the first high-speed rail system in the nation. California high-speed rail will connect the mega-regions of the state, contribute to economic development and a cleaner environment, create jobs and preserve agricultural and protected lands. By 2029, the system will run from San Francisco to the Los Angeles basin in under three hours at speeds capable of over 200 miles per hour. The system will eventually extend to Sacramento and San Diego, totaling 800 miles with up to 24 stations. In addition, the Authority is working with regional partners to implement a state-wide rail modernization plan that will invest billions of dollars in local and regional rail lines to meet the state's 21st century transportation needs."
Safety and emergencies,"California Highway Patrol
                  (CHP)",https://www.chp.ca.gov/,"The mission of the California Highway Patrol is to provide the highest level of Safety, Service, and Security. In case of emergency, call 9-1-1."
"Personal records, State info and laws","California Historical Records Advisory Board
                  (CHRAB)",https://www.sos.ca.gov/archives/admin-programs/chrab/,"In partnership with the National Historical Publications and Records Commission (NHPRC), the California Historical Records Advisory Board works to serve the needs of California constituencies involved in the management and preservation of historical records. Under federal regulations, the Board acts as coordinating body for historical record activities statewide and reviews NHPRC grants from California organizations and makes recommendations to the National Commission."
"State info and laws, Travel and recreation","State Historical Resources Commission
                  (SHRC)",https://ohp.parks.ca.gov/,"The State Historical Resources Commission (SHRC) is a 9-member board, appointed by the Governor, with responsibilities for the identification, registration, and preservation of California's historical resources. Five members are professionals in the disciplines of history, prehistoric archaeology, historic archaeology, architectural history, and architecture. One member is knowledgeable in ethnic history and one in folklife. Two members represent the public. The SHRC meets four times each year."
State info and laws,"California Horse Racing Board
                  (CHRB)",http://www.chrb.ca.gov/,"The mission of the California Horse Racing Board is to ensure the integrity, viability, and safety of the California horse racing industry by regulating pari-mutuel wagering for the protection of the public, promoting horse racing, breeding, and wagering opportunities, and fostering safe racing through the development and enforcement of track safety standards and regulations for the health and welfare of all participants."
"Businesses, State info and laws","Bureau of Household Goods and Services
                  (BHGS)",https://bhgs.dca.ca.gov/,"The Bureau is comprised of a group of skilled individuals, many coming from the industry itself, who conduct inspections, process licenses and enforce compliance with the law. Our dedicated team has an open communication with the public and the industry, welcoming feedback, suggestions, and innovative ideas to continually improve our services.  Mission:  To protect and serve the consumers while ensuring a fair and competitive market."
"Health and wellness, Housing and real estate","Department of Housing and Community Development
                  (HCD)",https://www.hcd.ca.gov/,"The Department of Housing & Community Development provides leadership, policies and programs to preserve and expand safe and affordable housing opportunities and promote strong communities for all Californians"
Housing and real estate,"Housing Finance Agency
                  (CALHFA)",https://www.calhfa.ca.gov/,"For more than 45 years, the California Housing Finance Agency (CalHFA) has supported the needs of low- and moderate-income renters and homebuyers by providing financing and programs with a focus on equity. Established in 1975, CalHFA was chartered as the state's affordable housing lender. The Agency's Multifamily Lending Division finances affordable rental housing through collaborations with developers, local, state and federal government partners and more, while its Single Family Division partners with a preferred lender network to provide first-time homebuyers with down payment and closing cost assistance and access to first mortgage loans. CalHFA is a self-supported state agency that doesn't rely on taxpayers dollars for its operational costs but regularly administers various state and federal resources on behalf of the state."
"Jobs and unemployment, Personal records","Department of Human Resources
                  (CalHR)",http://www.calhr.ca.gov/Pages/home.aspx,"The California Department of Human Resources (CalHR) is the California government agency responsible for human resource management of state employees, including issues related to salaries and benefits, job classifications, training and recruitment. It is part of the Government Operations Agency."
Health and wellness,"California State Independent Living Council
                  (CALSILC)",https://www.calsilc.ca.gov/,"In cooperation with the state Department of Rehabilitation, the California State Independent Living Council (SILC) prepares a State Plan for Independent Living which sets the policy and funding levels for the state's network of Independent Living Centers (ILCs) and services. To help guide this policy, the SILC solicits continual public feedback on the effectiveness of independent living services and the changing needs of the community. In addition to preparing and updating the State Plan for Independent Living, the SILC monitors the implementation of it. The SILC also coordinates with similar agencies and councils at the state and federal levels to increase communication and help assure that services to people with disabilities are delivered effectively."
Businesses,"California Industrial Development Financing Advisory Commission
                  (CIDFAC)",https://www.treasurer.ca.gov/inside/directory.asp,"The California Industrial Development Financing Advisory Commission (CIDFAC) was created to advise local governments and independently review tax-exempt industrial development bonds (IDBs) applications that are used for public benefit. IDBs are tax-exempt securities issued on behalf of a private company to provide money for the acquisition, construction and rehabilitation of facilities or the purchase of equipment."
"Businesses, Health and wellness, Jobs and unemployment, Safety and emergencies, State info and laws","Department of Industrial Relations
                  (DIR)",https://www.dir.ca.gov/,"The Department of Industrial Relations (DIR) was established in 1927. Its mission is to improve working conditions in California & advance opportunities for profitable employment. DIR administers & enforces laws on wages, breaks, retaliation, workplace safety & health, apprenticeship & claims for medical care for injured workers. DIR includes the Division of Occupational Safety & Health (DOSH), also known as Cal/OSHA. The Division of Labor Standards Enforcement (DLSE), also known as the Labor Commissioner’s Office. The Division of Workers’ Compensation (DWC), the Division of Apprenticeship Standards (DAS) & the Office of Self-Insurance Programs (OSIP). DIR also includes the Commission on Health & Safety & Workers' Compensation (CHSWC), the Occupational Safety & Health Standards Board (OSHSB), the Occupational Safety & Health Appeals Board (OSHAB), the Workers' Compensation Appeals Board (WCAB), the California Apprenticeship Council & the Interagency Advisory Committee on Apprenticeship"
"Businesses, Jobs and unemployment","Industrial Welfare Commission
                  (IWC)",https://www.dir.ca.gov/iwc/iwc.html,"The Industrial Welfare Commission was established to regulate wages, hours and working conditions in California. IWC wage orders must be posted by all employers in an area frequented by employees, where they may be easily read during the workday. Copies of the wage orders may be downloaded or ordered electronically from DIR's workplace postings page. The IWC is currently not in operation. The Division of Labor Standards Enforcement (DLSE) continues to enforce the provisions of the wage orders."
Businesses,"Infrastructure and Economic Development Bank (I-Bank)
                  (IBANK)",https://www.ibank.ca.gov/,"The California Infrastructure and Economic Development Bank (IBank) was created in 1994 to finance public infrastructure and private development that promote a healthy climate for jobs, contribute to a strong economy and improve the quality of life in California communities."
"Safety and emergencies, State info and laws","Office of the Inspector General
                  (OIG)",https://oig.ca.gov,"Our mission is to assist in safeguarding the integrity of the State's correctional system - in effect, to act as the eyes and ears of the public in overseeing the State's prisons and correctional programs. The OIG accomplishes that mission by conducting ongoing system monitoring, and select reviews of policies, practices, and procedures of the California Department of Corrections and Rehabilitation (CDCR) when requested by the Governor, the Senate Committee on Rules, or the Assembly. The OIG is also responsible for contemporaneous oversight of the internal affairs investigations and the disciplinary process of CDCR, for conducting reviews of the delivery of medical care at each State institution, and for determining the qualifications of candidates submitted by the Governor for the position of warden."
"Businesses, DMV/Auto, Housing and real estate","Department of Insurance
                  (CDI)",https://www.insurance.ca.gov/,"The California Department of Insurance (CDI) was created in 1868 as part of a national system of state-based insurance regulation. California is the largest insurance market in the United States and the sixth largest insurance market in the world. More than 1,300 dedicated employees work at CDI to oversee more than 1,300 insurance companies and license more than 390,000 agents, brokers, adjusters, and business entities. CDI annually receives more than 170,000 consumer assistance calls, investigates more than 35,000 consumer complaints and, as a result, recovers more than $63 million a year for consumers. All of CDI's functions, including overseeing insurer solvency, licensing agents and brokers, conducting market conduct reviews, resolving consumer complaints, and investigating and prosecuting insurance fraud, are to protect consumers."
State info and laws,"Commission on Judicial Performance
                  (CJP)",https://cjp.ca.gov/,"The Commission on Judicial Performance, established in 1960, is the independent state agency responsible for investigating complaints of judicial misconduct and judicial incapacity and for disciplining judges."
State info and laws,"Department of Justice
                  (DOJ)",https://oag.ca.gov/,The California Department of Justice is the department in the California executive branch under the leadership of the California Attorney General
Safety and emergencies,"Juvenile Parole Board
                  (JPB)",https://www.cdcr.ca.gov/Juvenile_Justice/Juvenile_Parole_Board/index.html,The Board of Juvenile Hearings (Board) conducts a number of hearings with youth under the jurisdiction of the Division of Juvenile Justice (DJJ).
Jobs and unemployment,"Labor and Workforce Development Agency
                  (LWDA)",https://www.labor.ca.gov/,"The State of California Labor & Workforce Development Agency (LWDA) is an executive branch Agency, and the Secretary is a member of the Governor’s Cabinet. The Secretary oversees seven major departments, boards and panels that serve California businesses and workers. The Agency has a cumulative budget of $14.7 billion and approximately 11,700 employees."
Housing and real estate,"California State Lands Commission
                  (SLC)",https://www.slc.ca.gov/,"The Commission, as a California public agency, complies with the requirements of the California Environmental Quality Act (CEQA) by considering environmental impacts for any proposed project, mitigating to less than significant any environmental impacts whenever possible, and disclosing this information to the public. To facilitate this and as required by CEQA, the Commission prepares certain documents, such as Environmental Impact Reports, Mitigated Negative Declarations, and Negative Declarations. These documents are publicly reviewed and considered by the Commission at public meetings."
,"Landscape Architects Technical Committee
                  (LATC)",https://www.latc.ca.gov/,"Protect the health, safety, and welfare of the public by establishing standards for licensure and enforcing the laws and regulations that govern the practice of landscape architecture in California."
State info and laws,"California Law Revision Commission
                  (CLRC)",http://www.clrc.ca.gov/,The California Law Revision Commission is an independent state agency created by statute in 1953. It assists the Legislature and Governor by examining California law and recommending needed reforms.
State info and laws,"Legislative Analyst's Office
                  (LAO)",https://lao.ca.gov/,The Legislative Analyst's Office (LAO) has provided fiscal and policy advice to the Legislature for more than 70 years. It is known for its fiscal and programmatic expertise and nonpartisan analyses of the state budget. The office serves as the eyes and ears for the Legislature to ensure that the executive branch is implementing legislative policy in a cost efficient and effective manner.
State info and laws,"California State Legislature
                  (LEGISLATUR)",http://www.legislature.ca.gov/,"This is the website for the California State Legislature. You can find legislation, hearings, and look up information about leadership and caucuses."
"Education, Travel and recreation","California State Library
                  (CSL)",https://library.ca.gov/,"The California State Library, a California public research institution, provides its customers with the accurate, up-to-date information they need to do their jobs easily, quickly, and confidently. Whether you are an elected official, a state employee, a representative of one of California's libraries, a person with special reading needs or a member of the general public, the California State Library is here for you. Our staff, including librarians, researchers, and consultants are at your service."
State info and laws,"Office of Lieutenant Governor
                  (LTG)",https://ltg.ca.gov/,"Under California’s Constitution, the Lieutenant Governor serves as Acting Governor whenever the Governor is absent from the state, and automatically becomes Governor if a vacancy occurs in the Office of the Governor. The Lieutenant Governor is also President of the Senate and votes in case of a tie.

The Lieutenant Governor serves as a voting member of the Board of Regents of the University of California, the Board of Trustees of the California State University system, and the Board of Governors of the California Community Colleges system. The Lt. Governor also sits on the Calbright College Board of Trustees.

The Lt. Governor serves on, and rotates with the State Controller, as chair of the State Lands Commission. During alternate years, the Lt. Governor serves on the Ocean Protection Council and as a non-voting member of the Coastal Commission.

In addition, under state statutes, the Lieutenant Governor chairs the California Commission for Economic Development."
State info and laws,"Little Hoover Commission
                  (LHC)",https://lhc.ca.gov/,"The Little Hoover Commission, formally known as the Milton Marks Little Hoover Commission on California State Government Organization and Economy, is an independent state oversight agency that was created in 1962. The Commission's mission is to investigate state government operations and – through reports, recommendations and legislative proposals – promote efficiency, economy and improved service."
State info and laws,"California State Lottery
                  (CA Lottery)",https://www.calottery.com/,"The California State Lottery was created by a ballot measure, Proposition 37, which was approved by 58 percent of voters on November 6, 1984. The Lottery Act gave the Lottery a clear mission: to provide supplemental funding for public schools and colleges. Since we began in 1985, we’ve given schools more than $46 billion.

California State Lottery games are sold at more than 23,000 locations statewide. Nine district offices provide same-day payment for prizes of $1,000 or less and offer help filing your claim for prizes of $600 or more."
Health and wellness,"Department of Managed Health Care
                  (DMHC)",https://www.dmhc.ca.gov/,The California Department of Managed Health Care protects consumers’ health care rights and ensures a stable health care delivery system.
Health and wellness,"Medical Board of California
                  (MBC)",https://www.mbc.ca.gov/,"The mission of the Medical Board of California is to protect health care consumers through the proper licensing and regulation of physicians and surgeons and certain allied health care professions and through the vigorous, objective enforcement of the Medical Practice Act, and to promote access to quality medical care through the Board's licensing and regulatory functions."
Health and wellness,"Mental Health Services Oversight and Accountability Commission
                  (MHSOAC)",http://mhsoac.ca.gov,"The role of the Mental Health Services Oversight and Accountability Commission (MHSOAC) is to oversee the implementation of the Mental Health Services Act (MHSA). The MHSOAC is also responsible for developing strategies to overcome stigma. At any time, the MHSOAC may advise the Governor or the Legislature on mental health policy."
"Safety and emergencies, State info and laws","California Military Department
                  (CalGuard)",https://calguard.ca.gov/,"The California Military Department is a diverse, community-based organization comprised of four pillars: the California Army National Guard, the California Air National Guard, the California State Military Reserve and the California Youth and Community Programs. Across our organization, we are committed to improving, preparing and protecting our communities, state and nation. The California Military Department - we are a force like no other."
Safety and emergencies,"State Mining and Geology Board
                  (SMGB)",https://www.conservation.ca.gov/smgb,"The SMGB represents the State's interest in the development, utilization and conservation of mineral resources; reclamation of mined lands; development of geologic and seismic hazard information; and to provide a forum for public participation​."
DMV/Auto,"Department of Motor Vehicles
                  (DMV)",https://www.dmv.ca.gov,The California Department of Motor Vehicle’s vision is to be a recognized leader in public service. To accomplish this vision our mission is to serve the public by providing quality licensing and motor vehicle-related services.
State info and laws,"Native American Heritage Commission
                  (NAHC)",http://nahc.ca.gov,"The Native American Heritage Commission (NAHC), created in statute in 1976, is a nine-member body, appointed by the Governor, to identify and catalog cultural resources (i.e., places of special religious or social significance to Native Americans, and known graves and cemeteries of Native Americans on private lands) in California."
Safety and emergencies,"California Natural Resources Agency
                  (Resources)",https://resources.ca.gov/,"To restore, protect and manage the state’s natural, historical and cultural resources for current and future generations using creative approaches and solutions based on science, collaboration and respect for all the communities and interests involved."
Health and wellness,"Naturopathic Medicine Committee
                  (NATROPATHC)",https://www.naturopathic.ca.gov/,"To serve the public and licensed naturopathic doctors through the promotion and enforcement of laws and regulations which protect the health and safety of Californians, thus ensuring access to high quality naturopathic medical care."
DMV/Auto,"New Motor Vehicle Board
                  (NMVB)",https://www.nmvb.ca.gov/,"The New Motor Vehicle Board (Board) is a program within the Department of Motor Vehicles (Department) with oversight provided by California State Transportation Agency (Agency).  Within the Board, there is a legal department which operates in a quasi-judicial capacity to resolve disputes between franchised dealers and manufacturers/distributors of new motor vehicles (including motorcycles, and recreational vehicles). The Board also offers mediation services to consumers who have encountered difficulties with their new motor vehicle purchase, lease, or warranty repair."
"Health and wellness, Jobs and unemployment","Occupational Safety and Health Appeals Board
                  (OSHAB)",https://www.dir.ca.gov/OSHAB/oshab.html,"The mission of the Appeals Board is to efficiently resolve appeals in a fair and timely manner and provide guidance to the public for promoting workplace safety and health. The three-member, quasi-judicial body appointed by the Governor and confirmed by the Senate handles employer appeals about health and safety citations issued by the Division of Occupational Safety and Health."
"Health and wellness, Jobs and unemployment","California Board of Occupational Therapy
                  (BOT)",https://www.bot.ca.gov/,"The board license and regulate Occupational Therapists and Occupational Therapy Assistants; who work with people experiencing different medical conditions or disabilities to develop, improve or restore functional daily living skills."
State info and laws,"Ocean Protection Council
                  (OPC)",http://www.opc.ca.gov,"The OPC will ensure that California maintains healthy, resilient, and productive ocean and coastal ecosystems for the benefit of current and future generations."
"Health and wellness, Jobs and unemployment","California State Board of Optometry
                  (OPTOMETRY)",https://www.optometry.ca.gov/index.shtml,"The mission of the California State Board of Optometry is to protect the health and safety of California consumers through licensing, education, and regulation of the practice of Optometry."
Health and wellness,"Osteopathic Medical Board of California
                  (OMBC)",https://www.ombc.ca.gov/,"To protect consumers and promote the highest professional standards in the practice of osteopathic medicine, the Osteopathic Medical Board of California licenses osteopathic physicians and surgeons. 

The board investigates consumer complaints and uses its enforcement power to ensure practitioners abide by the provisions of the state Business and Professions Code/Medical Practice Act."
Travel and recreation,"California State Parks and Recreation Commission
                  (PRC)",https://www.parks.ca.gov/commission,"The Commission was created as the State Park Commission in 1927. The Commission has specific authorities and responsibilities which are defined in California law. These include the approval of general plans for units of the State Park System, classifying units of the System, establishing general policies for the guidance of the Director of State Parks in the administration, protection & development of the System, and recommending to the Director a comprehensive recreation policy for the state."
Travel and recreation,"Department of Parks and Recreation
                  (PARKS)",https://www.parks.ca.gov,"California Department of Parks and Recreation manages 280 park units, which contain the finest and most diverse collection of natural, cultural, and recreational resources to be found within California."
Safety and emergencies,"Board of Parole Hearings
                  (BPH)",https://www.cdcr.ca.gov/BOPH/,"The Board of Parole Hearings (BPH) conducts parole consideration hearings, parole rescission hearings and parole progress hearings for adult inmates and parolees under the jurisdiction of the Department of Corrections and Rehabilitation. Duties of the BPH also include, but are not limited to, mentally disordered offender and sexually violent predator screenings and hearings, investigation of requests for pardons, reprieves and commutation of sentences and foreign prisoner transfer requests."
"Assistance and social programs, Health and wellness","Office of the Patient Advocate
                  (OPA)",https://www.opa.ca.gov,The Office of the Patient Advocate's mission is to improve California health care quality and advocate for consumer interests by publicly reporting data for informed decision making.
"Education, Jobs and unemployment","Commission on Peace Officer Standards and Training
                  (POST)",https://post.ca.gov/,"The Commission on Peace Officer Standards and Training (POST) was established by the Legislature in 1959 to set minimum selection and training standards for California law enforcement. The POST organization, with more than 130 staff members, functions under the direction of an Executive Director appointed by the Commission. POST funding comes from the Peace Officers' Training Fund (POTF). The POTF receives money from the State Penalty Fund, which in turn receives money from penalty assessments on criminal and traffic fines. Therefore, the POST Program is funded primarily by persons who violate the laws that peace officers are trained to enforce. No tax dollars are used to fund the POST Program."
Jobs and unemployment,"State Personnel Board
                  (SPB)",http://spb.ca.gov/,"The State Personnel Board (SPB) is charged with overseeing the merit-based, job-related recruitment & selection process for the hiring of state employees who provide critical services to the citizens of California. SPB provides direction to departments through simplifying civil service laws, rules, and policy. In addition, SPB audits departments for merit system compliance. SPB also investigates and adjudicates alleged violations of civil service law which are filed by employees, applicants, and members of the public."
"Businesses, Health and wellness, Safety and emergencies","Department of Pesticide Regulation
                  (CDPR)",https://www.cdpr.ca.gov/,"Our mission is to protect human health and the environment by regulating pesticide sales and use, and by fostering reduced-risk pest management."
Health and wellness,"California State Board of Pharmacy
                  (PHARMACY)",https://www.pharmacy.ca.gov/,"The Board of Pharmacy protects, promotes and advocates for the health and safety of Californians by pursuing the highest quality of pharmacist’s care and the appropriate use of pharmaceuticals through education, communication, licensing, legislation, regulation and enforcement."
Health and wellness,"Physical Therapy Board of California
                  (PTBC)",https://www.ptbc.ca.gov/,Board that regulates Physical Therapy in California.
Health and wellness,"Physician Assistant Board
                  (PAB)",https://www.pab.ca.gov/,"The Physician Assistant Board of the Medical Board of California serves and protects consumers of California through licensing, approving physician assistant training programs, and enforcement of the laws governing the Physician Assistant Practice Act. Physician Assistants are highly skilled professions who, under the supervision of a physician and surgeon, provide patient services ranging from primary medicine to very specialized surgical care."
Travel and recreation,"Board of Pilot Commissioners for the Bays of San Francisco, San Pablo, and Suisun
                  (BOPC)",https://bopc.ca.gov/,"The Board of Pilot Commissioners for the Bays of San Francisco, San Pablo, and Suisun (Board) has served the people of California since its creation in the first legislative session of the State of California in 1850. The Board licenses and regulates up to 60 maritime pilots (pilots) who guide ships of 750 gross tons or greater into and out of the Board’s jurisdiction, navigating through some of the most challenging waterway in the United States. This work supports the economic engine of California by facilitating the movement of billions of dollars of imports and exports through ports in the Bay Area ports, Sacramento and Stockton.  Alongside the economic benefits that Board licensed pilots support, the Board’s emphasis on pilot training and safety helps ensure protection of California’s natural resources including the more than 1,000 miles of coastline and the associated waters within the Board’s jurisdiction."
State info and laws,"Governor's Office of Planning and Research
                  (OPR)",http://www.opr.ca.gov/,"The Office of Planning and Research (OPR), created by statute in 1970, is part of the Office of the Governor. OPR serves the Governor and his Cabinet as staff for long-range planning and research, and constitutes the comprehensive state planning agency."
Health and wellness,"Podiatric Medical Board of California
                  (PMBC)",https://pmbc.ca.gov/,"The California Board of Podiatric Medicine (BPM) licenses and regulates Doctors of Podiatric Medicine (DPMs). Though functioning semi-independently as other boards within the Department of Consumer Affairs (DCA), BPM is part of the Medical Board of California (B&P Code §2460) and it is MBC that officially issues licenses to this small specialty group of about 2,000 independent practitioners upon the recommendation of BPM (B&P §§ 2479, 2486 & 2488)."
"Businesses, Health and wellness, Safety and emergencies","California Pollution Control Financing Authority
                  (CPCFA)",https://www.treasurer.ca.gov/cpcfa/,"The California Pollution Control Financing Authority (CPCFA) has been providing low-cost innovative financing to California businesses since 1972 with an objective of making California more economically prosperous and environmentally clean. 
Since 1994 CPCFA has administered the California Capital Access Program (CalCAP), which encourages banks and other financial institutions to make loans to small businesses and certain property owners that have difficulty obtaining financing."
Businesses,"Pooled Money Investment Board
                  (PMIB)",https://www.treasurer.ca.gov/pmia-laif/pmia/program.asp,"The Pooled Money Investment Board (PMIB), created by the Legislature in 1955, is comprised of the State Treasurer, as chairman, the State Controller and the Director of Finance.  The purpose of the PMIB is to design and administer an effective cash management and investment program, called the Pooled Money Investment Account (PMIA)."
"Safety and emergencies, State info and laws","Prison Industry Authority
                  (CALPIA)",https://www.calpia.ca.gov/,"The California Prison Industry (CALPIA) is a State-operated agency that provides productive work assignments for approximately 7,000 offenders annually in California’s adult correctional institutions. CALPIA operates over 100 manufacturing, service, and consumable factories in 34 CDCR institutions throughout California. CALPIA is self-supporting from the sale of its products and services and does not receive an annual appropriation from the Legislature."
"Education, Jobs and unemployment, State info and laws","Bureau for Private and Postsecondary Education
                  (BPPE)",https://www.bppe.ca.gov/,"The Bureau protects students and consumers through the oversight of California’s private postsecondary educational institutions by conducting qualitative reviews of educational programs and operating standards, proactively combating unlicensed activity, impartially resolving student and consumer complaints, and conducting outreach."
